"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"Cavaillon Lab Machine","99999","Neopost-ID","127 Avenue J-Pierre Boitelet","84300","Cavaillon","43.817310","5.044004"
"Monop Neuilly","92001","Monop Neuilly","113 avenue Charles de Gaulle","92200","Neuilly","48.881602","2.269292"
"CC L'ILO","93001","CC L'ILO","2 rue de Paris","93800","Epinay sur Seine","48.952791","2.315664"
"Packcity","94001","CC. Créteil Soleil","101 Avenue du Général de Gaulle ","94000 ","Créteil","48.790367","2.455572"
"Monop Victor Hugo","75001-181402","Monop Victor Hugo","29 avenue Victor Hugo","75016","Paris","48.871829","2.290731"
"Monop Entrepreneurs","75002","Monop Entrepreneurs","77 rue des Entrepreneurs","75015","Paris","48.844357","2.291543"
"Packcity","92002","Decathlon CNIT","2 place de la Défense","92800","Puteaux","48.891380","2.240883"
"CC QWARTZ","92003","CC QWARTZ"," 20 rue de la Bongarde","92390","Villeneuve la Garenne","48.924295","2.326633"
"Shopping São José","83005990","Rua Izabel A. Redentora, 1434","Centro","83005010","São José dos Pinhais","-25.537838","-49.203524"
"CC Créteil Soleil","PCG94001","CC Créteil Soleil","101 Avenue du Général de Gaulle ","94000","Créteil","48.779552","2.455316"
"Shopping Total","81070990","Rua Itacolomi, 292,","Loja 187","81070150","Curitiba","-25.479294","-49.294678"
"Station de Bus Diderot","PCG75001","Station de Bus Diderot","17 Boulevard Diderot","75012","Paris","48.845881","2.371508"
"ParkShopping Barigui","81200990","Rua Professor Pedro Viriato","Parigot de Souza, 600","81200100","Curitiba","-25.435140","-49.316788"
"AC SHS (Agência Conceito)","70312990","SHS Quadra 02","Bloco B","70312999","Brasilia","-15.820243","-47.904509"
"CC MERIGNAC SOLEIL","PCF33001","CC Mérignac Soleil","17, avenue de la Somme","33700","Merignac","44.828485","-0.657443"
"Rua 24 Horas","80410990","Rua Visconde de Nacar, 1430","Loja 20 (fração)","80410201","Curitiba","-25.434329","-49.276647"
"TAE Galeria","70310990","Estação Galeria do metrô","Loja nº04","70310500","Brasilia","-15.799339","-47.885976"
"CCR. Grand Vitrolles","PCG13001","CCR.Grand Vitrolles","RN 113 ","13127","Vitrolles","43.433480","5.258270"
"Carrefour Suresnes Market Verdun","PCF92005","Carrefour Market Suresnes Verdun","103 Avenue de Verdun","92150","Suresnes","48.875963","2.232036"
"Carrefour Market Saint Ouen","PCF75003","Carrefour Market Saint Ouen","Galerie 102 Face aux caisses du supermarché","75018","Paris","48.894196","2.327817"
"Carrefour Market La Madeleine","PCF59001","Carrefour Market La Madeleine","Rue du Pré Catelan","59110","La Madeleine","50.653861","3.060982"
"Carrefour Market Versailles","PCF78001","Carrefour Market Versailles","CC. Grand Siècle Rue de l'Ecole des Postes","78000 ","Versailles","48.803717","2.156014"
"CC ARCADE","PCG93001","CC ARCADE","234 Boulevard du Mont d´Est","93160","Noisy le Grand","48.848579","2.552610"
"Decathlon Paris Wagram","PCF00001","Decathlon Paris Wagram","26 Avenue de Wagram","75008","Paris","48.876427","2.297449"
